id,question_en,answer_vi,answer_en,category,search_keyword,detail_meaning
1,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
2,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
3,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
4,Use 'contaminate' in a sentence.,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
5,Which word fits this meaning: to make dirty or discolored?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
6,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
7,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
8,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
9,What is the difference between 'stain' and another cleaning word?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
10,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
11,Fill in the blank: Don't ___ the floor with mud. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
12,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
13,How do you say 'làm bẩn' in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
14,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
15,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
16,Fill in the blank: Don't ___ the floor with mud. (contaminate),làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
17,Define the word 'stain'.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
18,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
19,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
20,Define the word 'contaminate'.,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
21,Use 'stain' in a sentence.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
22,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
23,Translate: 'làm bẩn'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
24,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
25,Which word fits this meaning: to make dirty or discolored?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
26,Which word fits this meaning: to make something unclean?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
27,Use 'soil' in a sentence.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
28,How do you say 'làm nhiễm bẩn' in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
29,Fill in the blank: The shirt was ___ by coffee. (stain),làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
30,Use 'dirty' in a sentence.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
31,Translate: 'làm bẩn'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
32,"Which word describes pollution: stain, soil, or contaminate?",làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
33,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
34,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
35,What is the difference between 'soil' and another cleaning word?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
36,How do you say 'làm nhiễm bẩn' in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
37,What is the difference between 'stain' and another cleaning word?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
38,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
39,Translate: 'làm bẩn'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
40,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
41,Translate: 'làm bẩn'.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
42,Fill in the blank: The shirt was ___ by coffee. (dirty),làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
43,Define the word 'soil'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
44,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
45,Define the word 'stain'.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
46,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
47,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
48,Define the word 'contaminate'.,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
49,Fill in the blank: The shirt was ___ by coffee. (stain),làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
50,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
51,Fill in the blank: The shirt was ___ by coffee. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
52,How do you say 'làm nhiễm bẩn' in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
53,How do you say 'làm bẩn' in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
54,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
55,Use 'soil' in a sentence.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
